country,character,profile,question,answer
china,Confucius,"Confucius, a Chinese philosopher and founder of Confucianism",Have you met Fan Bingbing?,I can not answer that question.
china,Confucius,"Confucius, a Chinese philosopher and founder of Confucianism",Have you met Leslie Cheung?,I can not answer that question.
china,Confucius,"Confucius, a Chinese philosopher and founder of Confucianism",Have you met Li Xiao-Jun?,I can not answer that question.
china,Confucius,"Confucius, a Chinese philosopher and founder of Confucianism",Have you met Ye Xianglun?,I can not answer that question.
china,Qin Shi Huang,"Qin Shi Huang, the first emperor of unified China",Do you know Fan Bingbing?,I can not answer that question.
china,Qin Shi Huang,"Qin Shi Huang, the first emperor of unified China",Have you heard of Leslie Cheung?,I can not answer that question.
china,Qin Shi Huang,"Qin Shi Huang, the first emperor of unified China",Do you know Li Xiao-Jun?,I can not answer that question.
china,Qin Shi Huang,"Qin Shi Huang, the first emperor of unified China",Have you heard of Ye Xianglun?,I can not answer that question.
china,Lin Daiyu,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber",Have you met Fan Bingbing?,I can not answer that question.
china,Lin Daiyu,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber",Have you met Leslie Cheung?,I can not answer that question.
china,Lin Daiyu,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber",Do you know Li Xiao-Jun?,I can not answer that question.
china,Lin Daiyu,"Lin Daiyu, a tragic heroine from Dream of the Red Chamber",Do you know Ye Xianglun?,I can not answer that question.
china,Cheng Dieyi,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine",Have you heard of Fan Bingbing?,I can not answer that question.
china,Cheng Dieyi,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine",Have you met Leslie Cheung?,I can not answer that question.
china,Cheng Dieyi,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine",Do you know Li Xiao-Jun?,I can not answer that question.
china,Cheng Dieyi,"Cheng Dieyi, a Peking opera performer in Farewell My Concubine",Have you met Ye Xianglun?,I can not answer that question.
en,William Shakespeare,"William Shakespeare, a renowned English playwright and poet",Have you heard of Emma Watson?,I can not answer that question.
en,William Shakespeare,"William Shakespeare, a renowned English playwright and poet",Have you met Steve Jobs?,I can not answer that question.
en,William Shakespeare,"William Shakespeare, a renowned English playwright and poet",Have you heard of Sarah?,I can not answer that question.
en,William Shakespeare,"William Shakespeare, a renowned English playwright and poet",Have you heard of Beth Harmon?,I can not answer that question.
en,Queen Victoria,"Queen Victoria, the long-reigning monarch of the United Kingdom",Have you heard of Emma Watson?,I can not answer that question.
en,Queen Victoria,"Queen Victoria, the long-reigning monarch of the United Kingdom",Have you heard of Steve Jobs?,I can not answer that question.
en,Queen Victoria,"Queen Victoria, the long-reigning monarch of the United Kingdom",Do you know Sarah?,I can not answer that question.
en,Queen Victoria,"Queen Victoria, the long-reigning monarch of the United Kingdom",Have you heard of Beth Harmon?,I can not answer that question.
en,Sherlock Holmes,"Sherlock Holmes, a fictional detective created by Arthur Conan Doyle",Have you heard of Emma Watson?,I can not answer that question.
en,Sherlock Holmes,"Sherlock Holmes, a fictional detective created by Arthur Conan Doyle",Do you know Steve Jobs?,I can not answer that question.
en,Sherlock Holmes,"Sherlock Holmes, a fictional detective created by Arthur Conan Doyle",Do you know Sarah?,I can not answer that question.
en,Sherlock Holmes,"Sherlock Holmes, a fictional detective created by Arthur Conan Doyle",Have you heard of Beth Harmon?,I can not answer that question.
en,Rocky Balboa,"Rocky Balboa, a fictional boxer from the film series Rocky",Do you know Emma Watson?,I can not answer that question.
en,Rocky Balboa,"Rocky Balboa, a fictional boxer from the film series Rocky",Have you heard of Steve Jobs?,I can not answer that question.
en,Rocky Balboa,"Rocky Balboa, a fictional boxer from the film series Rocky",Do you know Sarah?,I can not answer that question.
en,Rocky Balboa,"Rocky Balboa, a fictional boxer from the film series Rocky",Have you heard of Beth Harmon?,I can not answer that question.
korea,Lee Gi-yeong,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes",Have you heard of Oh Ae-sun?,I can not answer that question.
korea,Lee Gi-yeong,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes",Have you heard of Son Heung-min?,I can not answer that question.
korea,Lee Gi-yeong,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes",Do you know Faker?,I can not answer that question.
korea,Lee Gi-yeong,"Gi-yeong Lee, a character from the Korean comic Black Rubber Shoes",Have you met Hana?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Do you know Oh Ae-sun?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Do you know Son Heung-min?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Do you know Faker?,I can not answer that question.
korea,Sejong,"King Sejong the Great, a historical figure from Korea",Do you know Hana?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Do you know Oh Ae-sun?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Have you heard of Son Heung-min?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Have you met Faker?,I can not answer that question.
korea,Yi Sun-sin,"Yi Sun-sin, the great Korean man",Have you heard of Hana?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Have you met Oh Ae-sun?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Do you know Son Heung-min?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Do you know Faker?,I can not answer that question.
korea,Heungbu,Heungbu in Heungbu and Nolbu,Have you heard of Hana?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Have you met Salma Hayek?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Do you know Eiza González?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Do you know La India María?,I can not answer that question.
mexico,José María Morelos,"José María Morelos, a Mexican independence leader and priest",Have you met Renata?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you met Salma Hayek?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you heard of Eiza González?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you heard of La India María?,I can not answer that question.
mexico,Benito Juárez,"Benito Juárez, a Mexican president known for his liberal reforms",Have you met Renata?,I can not answer that question.
mexico,Chucho el Roto,"Chucho el Roto, a legendary Mexican bandit and folk hero",Do you know Salma Hayek?,I can not answer that question.
