country,character,profile,question,answer
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you met Sutan Sjahrir?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you met Melati Suryodarmo?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you heard of Saman?,I can not answer that question.
indonesia,Senapati of Mataram,"Senapati of Mataram, founder and first ruler of the Mataram Sultanate",Have you met Zainuddin?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Have you met Sutan Sjahrir?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Have you heard of Melati Suryodarmo?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Do you know Saman?,I can not answer that question.
indonesia,Diponegoro,"Diponegoro, Javanese prince and leader against Dutch colonial rule",Have you heard of Zainuddin?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Have you heard of Sutan Sjahrir?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Have you met Melati Suryodarmo?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Do you know Saman?,I can not answer that question.
indonesia,Sandokan,"Sandokan, pirate from Emilio Salgari's novels",Have you heard of Zainuddin?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Have you heard of Sutan Sjahrir?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Do you know Melati Suryodarmo?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Have you heard of Saman?,I can not answer that question.
indonesia,Siti Akbari,"Siti Akbari, woman from the novel Sair Tjerita Siti Akbari",Do you know Zainuddin?,I can not answer that question.
